,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,PROFILE
652,Lashawn Aburto,58240070,15,51,17,2,3,4,2,5,3,78,76,69,beginner_backend
653,Douglas Lynn,58343900,21,42,7,7,4,9,0,0,5,89,78,75,advanced_backend
654,Gregory Sowell,75561285,29,104,53,4,5,8,1,2,4,51,70,51,advanced_backend
655,Marquita Smith,11584014,68,57,53,4,7,1,3,4,0,68,66,64,advanced_front_end
656,Jesse Schell,58472295,43,14,18,6,2,7,2,4,4,48,82,77,advanced_data_science
657,Paul Massa,53428740,44,56,49,4,1,3,5,3,3,73,65,89,advanced_backend
658,Sherry Morey,77820233,70,47,51,2,6,5,1,5,0,61,46,55,beginner_front_end
659,John Moorehead,22049419,49,52,5,7,2,7,1,5,1,70,74,73,advanced_data_science
660,Priscilla Catron,78334652,55,56,18,7,7,5,4,2,4,71,73,54,beginner_front_end
661,Brandon Tobey,30405338,8,39,71,4,1,2,5,4,7,88,91,100,advanced_backend
662,Lamont Salazar,65636397,86,80,40,5,0,0,4,6,5,45,62,80,beginner_backend
663,Eileen Epperson,71120129,59,43,52,5,5,7,1,3,1,52,67,58,advanced_data_science
664,Amy Richardson,33088749,17,65,24,5,4,5,5,0,1,62,70,71,advanced_backend
665,Steven Olivarez,41410694,9,42,14,4,4,1,8,3,1,57,67,88,advanced_backend
666,Randal Myatt,13773307,41,60,77,4,3,5,2,5,2,47,46,28,advanced_front_end
667,Carol Herzog,14305911,0,38,68,5,2,7,0,0,5,58,70,70,beginner_data_science
668,David Nein,80065430,0,77,52,3,5,2,6,5,5,83,82,95,advanced_front_end
669,Ardis Miller,41187439,0,56,58,3,3,3,2,6,4,73,77,71,advanced_front_end
670,Leah Taylor,34977427,31,39,40,0,7,1,5,7,1,51,68,70,advanced_front_end
671,Armando Wilkins,13175326,30,7,79,3,2,2,10,5,0,70,85,45,beginner_data_science
672,Anne Myers,21946690,17,6,36,3,2,10,4,3,1,80,100,81,beginner_data_science
673,Michael Taylor,82605229,17,77,31,3,4,3,5,8,2,72,66,64,advanced_data_science
674,Peter Salazar,84020110,24,15,46,4,1,8,3,2,3,69,75,74,beginner_data_science
675,Mark Wood,20782587,22,29,27,2,8,5,4,4,3,69,83,49,advanced_front_end
676,Fredrick Hegyi,45669493,30,57,24,2,5,1,3,5,5,40,87,77,advanced_front_end
677,Marlon Norman,35315429,22,40,0,1,1,1,0,5,3,86,62,46,beginner_front_end
678,Jon Byrant,82502365,18,14,15,0,3,7,2,4,2,66,67,80,beginner_data_science
679,Loretta Dunn,25681920,32,46,0,7,3,4,0,4,0,87,71,76,advanced_data_science
680,Ken Young,50572563,29,26,36,2,7,3,2,4,2,58,74,59,advanced_front_end
681,Jose Norton,63518746,52,55,18,5,4,5,4,3,5,68,64,67,advanced_backend
682,Emily Theisen,22108921,6,41,58,4,5,3,1,5,4,51,78,44,advanced_front_end
683,Milton Ferguson,34986386,26,11,50,0,5,4,2,5,3,62,75,56,advanced_front_end
684,John Ness,2313388,74,43,33,4,8,0,2,2,0,70,93,,advanced_front_end
685,Michelle Matelski,39586835,9,27,42,3,7,4,3,5,6,67,71,79,beginner_backend
686,Nicole Reynolds,51825736,65,86,61,4,2,5,3,6,6,47,63,76,advanced_backend
687,Velma Thomas,66846382,59,34,53,6,2,8,2,0,6,41,65,97,advanced_data_science
688,Reynaldo Murray,8105364,15,21,3,1,4,1,6,0,2,78,100,73,advanced_backend
689,Helen Clark,77832589,14,11,42,4,2,6,0,3,1,63,62,54,advanced_data_science
690,Sidney London,84038879,23,62,20,4,6,1,2,7,0,76,54,70,advanced_data_science
691,Kim Albaladejo,58019498,42,38,40,5,1,7,4,5,10,85,73,77,advanced_backend
692,Brian Martin,36996255,9,14,45,4,2,7,0,3,3,34,78,86,beginner_data_science
693,Mary Mercuri,5629201,10,64,44,7,0,10,4,3,7,84,57,73,advanced_backend
694,Anita Murphy,36012241,40,14,26,4,5,4,4,9,3,83,54,69,beginner_front_end
695,Charles Laigo,56027469,40,91,23,5,1,6,7,10,6,45,42,55,advanced_data_science
696,Richard Markus,17152526,39,41,33,2,7,3,3,7,4,76,75,61,beginner_front_end
697,Shirly Schiro,66395772,57,27,8,0,6,5,3,10,4,79,43,70,beginner_front_end
698,Debra Sanchez,80037848,63,22,16,4,2,1,5,3,2,74,78,89,advanced_backend
699,Toni Harrington,23200815,30,25,77,4,1,5,0,1,4,31,69,82,beginner_data_science
700,Robert Biederman,15752255,28,22,48,2,4,6,1,3,3,65,81,87,beginner_data_science
701,Beth Manning,41482862,24,57,45,3,5,4,4,4,5,65,74,68,advanced_front_end
702,Dennis Chase,44994062,27,113,65,6,7,4,5,3,1,88,44,44,advanced_front_end
703,Gertrude Grandi,23809101,45,63,45,5,1,0,5,6,2,67,84,100,beginner_backend
704,Noe Collins,58885055,8,1,41,4,2,1,4,4,4,63,75,81,beginner_data_science
705,Petra Rankin,3895324,36,25,56,4,3,3,3,3,3,65,70,73,beginner_data_science
706,Debra Pacheco,60102442,34,29,80,1,3,6,5,2,2,50,70,53,beginner_data_science
707,Kathleen Moneypenny,9735234,45,41,70,5,3,6,2,0,4,50,79,72,beginner_data_science
708,Patricia Kaminski,66016623,74,50,40,6,0,3,5,4,3,77,52,83,advanced_backend
709,Helen Bennett,20050902,62,39,38,0,6,5,1,4,0,51,52,53,beginner_front_end
710,Violet Presley,48430518,61,61,41,4,1,7,3,6,4,61,40,62,advanced_data_science
711,Mark Springer,96266523,4,83,49,6,5,3,1,4,4,52,84,42,advanced_front_end
712,Fredrick Spueler,45940137,17,20,41,5,5,1,0,2,5,65,58,86,beginner_data_science
713,Tonya Richardson,55409518,41,55,41,6,1,3,7,3,3,46,76,65,beginner_data_science
714,Michelle David,87890947,5,74,41,5,4,7,6,0,3,67,71,60,advanced_backend
715,Debra Merrifield,79855320,16,52,25,3,3,2,1,3,7,63,71,75,beginner_backend
716,Peter White,62528139,31,58,14,4,5,4,4,6,4,66,91,91,beginner_backend
717,Patricia Lahey,86653207,66,46,0,7,8,5,2,5,5,53,63,46,advanced_backend
718,Eileen Headd,47758143,0,78,60,4,4,7,4,6,5,66,77,42,advanced_front_end
719,Beth Moreschi,5307264,0,69,30,9,6,9,1,3,3,57,64,65,advanced_backend
720,Kimberly Austin,79240197,15,17,16,4,3,3,7,4,5,66,100,53,advanced_backend
721,Steven Her,38805351,15,35,15,8,4,8,3,2,7,82,77,74,advanced_backend
722,Lucia Tirey,85398426,35,47,28,2,5,7,5,2,1,100,75,46,beginner_backend
723,Tom Massey,7281761,24,61,36,4,4,2,2,3,6,60,70,85,beginner_backend
724,Lisa Fletcher,20832483,54,30,59,3,3,2,4,8,2,57,61,73,beginner_backend
725,Jean Hollinger,88107332,16,29,18,4,2,1,4,4,4,93,60,57,beginner_front_end
726,Kimberly Quintanilla,38595066,56,22,35,5,2,6,3,4,3,46,57,62,advanced_data_science
727,Susan Berry,81308731,39,29,28,5,0,7,6,4,9,88,74,82,advanced_backend
728,Alan Stroman,55269356,39,54,54,0,4,5,0,4,4,,55,67,beginner_data_science
729,Aletha Banerjee,74476414,12,55,60,7,2,5,1,6,2,67,64,100,advanced_backend
730,Margie Baker,45006941,22,18,39,1,5,5,1,5,3,77,75,89,beginner_data_science
731,Marcus Pease,26265532,49,26,54,3,8,3,5,4,5,63,74,69,beginner_front_end
732,Matthew Sandstrom,40530122,28,39,12,3,4,4,8,0,8,80,84,62,advanced_backend
733,Armando Mickey,87008338,78,65,42,5,3,5,8,6,5,34,50,67,advanced_data_science
734,Ivan Pritt,21080483,70,1,7,2,4,7,4,7,2,77,66,82,beginner_front_end
735,Vera Brewer,44791130,37,62,12,7,5,5,2,1,0,62,57,77,advanced_backend
736,Man Russell,54884131,0,58,29,7,4,8,7,0,6,78,64,74,advanced_backend
737,Ronald Matheny,64533328,41,57,3,7,2,7,0,3,0,74,62,76,advanced_data_science
738,Donald Fabela,50654621,46,21,52,3,6,4,3,4,4,83,89,86,beginner_data_science
739,Samuel Pruiett,86825063,87,10,60,4,8,,4,5,0,50,62,79,beginner_front_end
740,Gordon Stoute,75943262,38,51,30,2,4,3,4,5,3,77,71,67,beginner_backend
741,Michael Mcguire,68125404,0,63,49,6,1,8,6,1,8,100,72,70,advanced_backend
742,Christina Proctor,40542396,47,45,42,2,0,2,6,6,3,64,72,85,beginner_backend
743,James Compton,10270,26,32,64,4,4,3,7,2,4,83,76,49,beginner_data_science
744,David Obryant,14778152,0,56,42,4,5,4,2,6,4,44,68,44,advanced_front_end
745,Edward Booth,27087451,21,60,53,2,4,4,2,5,3,72,55,78,advanced_data_science
746,Brian Madrid,67349743,17,57,42,6,6,1,6,2,4,,78,54,beginner_front_end
747,Brandon Mattox,5068000,36,46,0,1,2,0,1,3,5,79,55,38,beginner_front_end
748,Lara Peters,49479639,45,18,8,0,5,4,5,6,3,71,66,75,beginner_data_science
749,Mary Brookshire,99528812,3,14,85,4,1,9,1,1,2,35,71,60,beginner_data_science
750,Ronald Humes,83409223,52,67,16,2,4,6,3,3,5,53,75,46,advanced_backend
751,Kenneth Perron,47685630,43,54,46,4,6,3,3,2,2,62,66,55,advanced_front_end
752,Julianne Rusher,50553487,12,24,40,3,6,4,5,4,5,72,64,64,beginner_backend
753,Jerry Mccall,15819313,9,80,39,2,6,2,5,6,3,54,70,65,advanced_front_end
754,Pamela Thomas,44760382,73,42,0,9,2,7,3,5,2,52,67,70,advanced_data_science
755,Kirk Shelton,19633769,8,60,1,1,1,4,0,4,3,76,69,57,beginner_backend
756,Richard Pendry,40861964,45,41,22,5,3,7,2,4,5,42,80,74,advanced_data_science
757,David Lovins,39499156,56,45,50,4,4,5,0,2,1,74,40,69,advanced_data_science
758,Edward Hodges,23102212,31,28,66,3,4,1,5,5,1,72,54,57,beginner_front_end
759,Everett Reveles,45923818,23,40,25,5,5,3,4,6,2,83,76,71,beginner_backend
760,Cynthia Elwood,85472340,29,47,43,3,4,5,3,4,4,76,90,80,beginner_backend
761,Ronnie Williams,22790912,25,17,34,1,3,9,3,5,2,86,79,63,beginner_data_science
762,Norma Hurtado,80368418,36,10,79,1,1,0,7,3,2,55,73,58,beginner_data_science
763,Karen Liston,92723117,33,41,19,2,6,2,1,8,1,95,57,64,beginner_backend
764,Joyce Smith,69306145,18,49,15,4,3,4,5,3,4,65,84,60,advanced_backend
765,Magdalena Felipe,47816650,56,24,41,2,4,5,0,5,3,52,54,44,advanced_data_science
766,Trisha Lively,97750451,80,69,12,6,2,6,4,10,5,52,59,62,advanced_data_science
767,Dante Galyean,12350917,82,71,65,4,7,1,4,4,0,73,62,56,advanced_front_end
768,Tony Bemis,22131418,49,7,24,2,4,4,4,7,4,73,49,67,beginner_front_end
769,Joshua Hansen,43678215,55,58,85,2,1,5,5,4,7,54,67,94,advanced_data_science
770,Marcus Haley,1602313,21,38,41,5,4,1,5,5,2,84,71,85,beginner_backend
771,Agnes Horton,24723224,26,30,29,3,2,8,0,4,3,65,78,88,beginner_data_science
772,Micheal Mclean,56351000,29,60,10,6,4,4,4,5,2,53,68,73,advanced_data_science
773,Mary Hill,39571214,43,50,63,3,7,1,3,6,1,64,58,49,beginner_front_end
774,Allen Estrada,30304238,51,48,26,5,2,3,3,8,1,70,44,49,advanced_data_science
775,Charlie Sandoval,82580482,29,7,15,6,4,6,3,6,10,82,99,59,advanced_backend
776,Joseph Hutchinson,9178442,12,20,55,4,5,0,5,9,1,78,62,89,beginner_backend
777,Jerry Egan,48678721,17,28,2,6,4,6,8,2,9,89,76,50,advanced_backend
778,Jamie Amick,63267262,78,58,63,1,3,0,7,6,3,68,99,77,beginner_data_science
779,Dorothy Bradley,96685412,57,30,24,2,6,3,1,6,3,77,58,58,beginner_front_end
780,Gene Brown,82440503,1,25,38,4,4,10,0,1,4,63,87,88,beginner_data_science
781,Dana Pope,1412274,96,43,44,5,7,1,5,4,1,71,68,83,advanced_front_end
782,Billy Dean,60510259,39,57,58,3,4,5,5,5,3,75,53,68,advanced_front_end
783,Brandy Coble,92382314,40,67,42,6,6,1,2,5,6,82,50,35,beginner_front_end
784,David Martin,76731750,20,52,39,7,3,8,4,4,8,79,62,81,advanced_backend
785,Jordan Johnson,54915829,45,47,36,5,3,6,3,5,5,68,73,71,advanced_backend
786,Edna Jackson,86815804,12,2,55,1,0,3,5,4,1,35,22,42,beginner_data_science
787,Brittany Zackery,90917988,86,30,29,8,1,9,2,4,3,45,61,63,advanced_data_science
788,Wendell Buckley,52924276,39,47,41,2,1,2,4,6,4,63,82,77,beginner_backend
789,Clinton Andrews,62711848,49,55,38,4,3,2,2,10,0,54,56,74,beginner_backend
790,Gene Daley,8360657,30,62,5,7,1,6,3,3,3,63,49,80,advanced_data_science
791,Martin Jones,2949944,29,68,61,6,0,5,5,6,0,58,57,80,advanced_backend
792,Daniel Holmes,32516541,47,64,26,4,2,2,2,8,1,58,59,77,beginner_backend
793,James Sleiman,77477366,47,9,39,4,3,4,3,3,4,48,69,71,advanced_data_science
